trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
48,2025-09-10T01:12:41,116,2.0,0.769145,0.43362068965517236,0.10834150114989965,0.16656203177343618,0.4336206896551724,0.09432193219321933,0.15494085756530307,sweeps/runs/run_trial48_k116_k12.0_b0.7691.txt
49,2025-09-10T01:13:02,159,1.485714,0.763396,0.40955974842767295,0.13776341529574818,0.1968925971719002,0.40955974842767295,0.12211221122112212,0.18813196972323337,sweeps/runs/run_trial49_k159_k11.4857_b0.7634.txt
50,2025-09-10T01:13:24,155,1.795736,0.95,0.35509677419354835,0.11923157856349252,0.1704801013001278,0.3550967741935484,0.10321032103210322,0.15993491021096068,sweeps/runs/run_trial50_k155_k11.7957_b0.95.txt
51,2025-09-10T01:13:44,194,1.178022,0.1,0.39381443298969077,0.16012370037173682,0.21658018568085283,0.3938144329896907,0.14326432643264325,0.21009789902100975,sweeps/runs/run_trial51_k194_k11.178_b0.1.txt
52,2025-09-10T01:14:02,200,1.158127,0.1,0.38780000000000003,0.16207028298915088,0.21734615924315445,0.3878,0.14543954395439543,0.2115426576478289,sweeps/runs/run_trial52_k200_k11.1581_b0.1.txt
53,2025-09-10T01:14:23,160,1.57298,0.574229,0.418125,0.14231109350703144,0.20254822463293656,0.418125,0.12545004500450044,0.19299561504731133,sweeps/runs/run_trial53_k160_k11.573_b0.5742.txt
54,2025-09-10T01:14:43,200,1.076631,0.273894,0.3911,0.1635932692411555,0.21940858584361905,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial54_k200_k11.0766_b0.2739.txt
55,2025-09-10T01:15:04,200,1.982914,0.181186,0.3856,0.1609420228066811,0.21602884004823145,0.3856,0.14461446144614462,0.21034257036875412,sweeps/runs/run_trial55_k200_k11.9829_b0.1812.txt
56,2025-09-10T01:15:26,144,2.0,0.1,0.4222222222222222,0.12942149175800352,0.18927653720644744,0.4222222222222222,0.11401140114011402,0.17954169619655092,sweeps/runs/run_trial56_k144_k12.0_b0.1.txt
57,2025-09-10T01:15:49,80,0.917716,0.512602,0.4965,0.08596376024155473,0.14194171174523812,0.4965,0.07448244824482449,0.12953300286981478,sweeps/runs/run_trial57_k80_k10.9177_b0.5126.txt
58,2025-09-10T01:16:12,149,1.488678,0.710577,0.4212080536912752,0.1339055691558038,0.19410608051814673,0.4212080536912752,0.11768676867686768,0.18397139004514274,sweeps/runs/run_trial58_k149_k11.4887_b0.7106.txt
59,2025-09-10T01:16:33,168,1.635846,0.771134,0.4007142857142857,0.14222355691399785,0.2003050490011886,0.4007142857142857,0.12623762376237624,0.1919917864476386,sweeps/runs/run_trial59_k168_k11.6358_b0.7711.txt
60,2025-09-10T01:16:56,185,1.715771,0.362746,0.3997837837837838,0.1554180937178006,0.2130819565758326,0.39978378378378376,0.1386888688868887,0.20593640363089602,sweeps/runs/run_trial60_k185_k11.7158_b0.3627.txt
1,2025-09-10T01:25:16,200,1.408754,0.505006,0.3911,0.16381528742144955,0.21959819243127385,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial1_k200_k11.4088_b0.505.txt
2,2025-09-10T01:25:39,200,1.448838,0.470499,0.3911,0.1636499035060767,0.2194543179518557,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial2_k200_k11.4488_b0.4705.txt
3,2025-09-10T01:26:02,200,1.606672,0.456357,0.3908,0.1632666706982883,0.21907052038499553,0.3908,0.14656465646564656,0.2131791403011128,sweeps/runs/run_trial3_k200_k11.6067_b0.4564.txt
4,2025-09-10T01:26:27,200,1.476523,0.551071,0.39189999999999997,0.16406225810483818,0.22000761260688861,0.3919,0.14697719771977197,0.21377918394065024,sweeps/runs/run_trial4_k200_k11.4765_b0.5511.txt
5,2025-09-10T01:26:52,200,1.596436,0.593204,0.3889,0.16294039452592632,0.21845552797633463,0.3889,0.14585208520852086,0.21214270128736634,sweeps/runs/run_trial5_k200_k11.5964_b0.5932.txt
6,2025-09-10T01:27:13,200,1.477154,0.567853,0.39149999999999996,0.1639051815164735,0.21980376534095092,0.3915,0.14682718271827183,0.21356098625354572,sweeps/runs/run_trial6_k200_k11.4772_b0.5679.txt
7,2025-09-10T01:27:38,200,1.665583,0.481932,0.3911,0.16361384200945306,0.21944041986227966,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial7_k200_k11.6656_b0.4819.txt
8,2025-09-10T01:27:59,200,1.519088,0.481096,0.3911,0.1636813730810166,0.21947481735926572,0.3911,0.14667716771677167,0.2133427885664412,sweeps/runs/run_trial8_k200_k11.5191_b0.4811.txt
9,2025-09-10T01:28:42,200,1.435774,0.525985,0.3907,0.1638005312501637,0.21950233570347957,0.3907,0.14652715271527153,0.21312459087933666,sweeps/runs/run_trial9_k200_k11.4358_b0.526.txt
