trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
89,2025-09-10T09:40:49,20,0.874155,0.046891,0.63,0.028776760943194753,0.05427104802602525,0.63,0.023627362736273628,0.04554655870445344,sweeps/runsk20/run_trial89_k20_k10.8742_b0.0469.txt
90,2025-09-10T09:41:12,20,0.886506,0.038031,0.625,0.028564526799435153,0.053867936835141794,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial90_k20_k10.8865_b0.038.txt
91,2025-09-10T09:41:35,20,1.090852,0.15557,0.627,0.028321937878884613,0.05345011229395641,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial91_k20_k11.0909_b0.1556.txt
92,2025-09-10T09:41:58,20,0.821023,0.068424,0.633,0.028932441409654553,0.05456576789763277,0.633,0.02373987398739874,0.045763447079236554,sweeps/runsk20/run_trial92_k20_k10.821_b0.0684.txt
93,2025-09-10T09:42:23,20,0.873797,0.121808,0.632,0.02874511111315742,0.05422964514982121,0.632,0.023702370237023703,0.045691150954308854,sweeps/runsk20/run_trial93_k20_k10.8738_b0.1218.txt
94,2025-09-10T09:42:47,20,0.8,0.123477,0.635,0.028892549760454463,0.054509393052582275,0.635,0.023814881488148816,0.04590803932909197,sweeps/runsk20/run_trial94_k20_k10.8_b0.1235.txt
95,2025-09-10T09:43:11,20,0.8,0.196286,0.63,0.028705725196697496,0.05414969738386444,0.63,0.023627362736273628,0.04554655870445344,sweeps/runsk20/run_trial95_k20_k10.8_b0.1963.txt
96,2025-09-10T09:43:34,20,0.834411,0.10258,0.634,0.028864064343889148,0.05444975736099092,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial96_k20_k10.8344_b0.1026.txt
97,2025-09-10T09:43:59,20,1.018989,0.058937,0.626,0.028454933559190952,0.0536780906210357,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial97_k20_k11.019_b0.0589.txt
98,2025-09-10T09:44:29,20,1.339355,0.084031,0.622,0.028060335101796577,0.052955627367340205,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial98_k20_k11.3394_b0.084.txt
